REMOTE_HASH_GATE 48
ARTIFACT_GATE 35
SOURCE_COMMIT 35d5e8f60c2c831c346c5b56ebcbe3d139f67327
SOURCE_DIGEST 83b755a44f64cd61009da84c9f7e8d77869d34b62410cd978542890ee909322a
dataset,model,actual,reported,delta,status,sha256
beauty,mc,0.0491767443,0.0492,-0.0000232557,PASS,421d947d725d316c415a81034ef5174efa5a762f7744ca410e62256e33d8aa17
beauty,fmc,0.0481068036,0.0481,+0.0000068036,PASS,34ead38e54a5d5e9ec704560e666203efbbe3a506bf81c9a2ada3bb1b68cef49
beauty,fmc_plus,0.0530707885,0.0531,-0.0000292115,PASS,6efb17a57c9c1dc0b336e0fdd83443769556b774152d74e4dc6d53fee02a7380
beauty,sasrec_plus,0.0534401277,0.0537,-0.0002598723,PASS,88e9a834e84200ded1305dba33bcef0f30f3fc079bc30027eab4cca3930cd51c
beauty,esasrec,0.0510836943,0.0524,-0.0013163057,PASS,1eff833a60660ff770a9d77a9354e579598329d30a3ccc459eb3c8dd2a8c912c
beauty,seqrules,0.0604766802,0.0605,-0.0000233198,PASS,460e25ed1f7aa77767f249530101860ca080e6a2513795120bae491a3069c57f
beauty,pctm,0.0635166944,0.0635,+0.0000166944,PASS,c66364cc6815edf4fc565ae6a49145254b8e6831e94ad33f5a86c2a0a7f24be7
sports,mc,0.0251263127,0.0251,+0.0000263127,PASS,89975523a0421a15ec8f207d6778f62cae1d01946331d68600d71cd3b55d9cc8
sports,fmc,0.0244194118,0.0244,+0.0000194118,PASS,6cb05415dc03382193d1aa392687d036712084e01a37fe02aa06480416717332
sports,fmc_plus,0.0270985985,0.0271,-0.0000014015,PASS,3ea4de611590506bf06a02a4a1a04176e2e4a05c3c801c51bacf3df197388629
sports,sasrec_plus,0.0321395458,0.0315,+0.0006395458,PASS,f1034e77744d4800344e5a049c472533469142f43c81eed4f8f5e0c8c3d90c27
sports,esasrec,0.0319926837,0.0324,-0.0004073163,PASS,37f967a9666e8e879e96b77411325fda00126fde31bfcc3cdafb195ffc650615
sports,seqrules,0.0371256907,0.0371,+0.0000256907,PASS,360b0097079f20bf5f28baf3ad81d9afb87a0516ce09b3d56c40b058fa4c4274
sports,pctm,0.0367945130,0.0368,-0.0000054870,PASS,6b99214080a718f4c0201bf6d25dc58b2996acf1a07c70960872a5c131f71847
toys,mc,0.0547787595,0.0548,-0.0000212405,PASS,65de3c779542bd028405405999ac0704d10693e2e0779a4e70961a97ad2a38de
toys,fmc,0.0558754215,0.0554,+0.0004754215,PASS,5350d595d5fdfde58b3184f9181267b35308d7f6523ffbd837975e3837257945
toys,fmc_plus,0.0587926292,0.0588,-0.0000073708,PASS,280862932e6920a78c31c8475c1c979d08d7bab224827afed56e9990e5a99b52
toys,sasrec_plus,0.0586609487,0.0575,+0.0011609487,PASS,f78eba65844b31530c015117f06c7dcbe47e40f226cb52ff3fbd4fc6c9017d4a
toys,esasrec,0.0516333796,0.0533,-0.0016666204,PASS,d3258976fb02569acff7a5be4853471a3bd27a8e7a31591243c8cddec6258047
toys,seqrules,0.0729967455,0.0730,-0.0000032545,PASS,f079755a25e90e0e7d30cf7bec38309c7f409315c6df0bb4fbe275d51597dd65
toys,pctm,0.0737700157,0.0738,-0.0000299843,PASS,e655ee734143cd9182f808377ac1874809c76550013c932e07ac4b8aa3e71b15
ml1m,mc,0.1239559264,0.1240,-0.0000440736,PASS,6e5576e64261669b580cc77db0c7333b92f48e4cea2e52ec2f3c781266068e67
ml1m,fmc,0.1124374696,0.1124,+0.0000374696,PASS,b301408b7acc8492767fcf7c9fd2ef1f4c51092e1ccab32d1fe997b28ea8b64a
ml1m,fmc_plus,0.1205931544,0.1206,-0.0000068456,PASS,4b3ff888c62ceafb10646a0be3796af7e0bb2ea11abca706ecd714190c068ef3
ml1m,sasrec_plus,0.1654249327,0.1662,-0.0007750673,PASS,141d108c904f3b9e5e51a0a7e7f875890701e163ae69f776e044c7dad22d25ee
ml1m,esasrec,0.1766740228,0.1739,+0.0027740228,PASS,0f68e7599a5af4d1fcd23cc3df91eaee8c36edaee00e12971f479d9190455954
ml1m,seqrules,0.1504935371,0.1505,-0.0000064629,PASS,be31feeefba66fa0eecfcec133e8884b84c044542bf5bad6097c33f24ae3a7c2
ml1m,pctm,0.1815156953,0.1815,+0.0000156953,PASS,2f7ac2f52147d7cdbd0e4da69c8dec0f864d393f9cb5a4293131008815deb454
ml20m,mc,0.1050118273,0.1050,+0.0000118273,PASS,88e6581858f4afa6da915863629f2480d34c34a91ae82a95804d8f0c1c371d77
ml20m,fmc,0.0806520457,0.0807,-0.0000479543,PASS,3bc3db2dc58db92b9e5e5c89a1a8ae2e06f1e7d1e1db03c6146f90df07b21fdb
ml20m,fmc_plus,0.1034127882,0.1034,+0.0000127882,PASS,842c6ae5a22baea83f04c17c4d755d496326eb64cb596513cd8a592a5d3553c8
ml20m,sasrec_plus,0.1813865145,0.1806,+0.0007865145,PASS,e66d64094355bf79bccb018778b82fe88ec8ce075a788d111fc911283c20b15e
ml20m,esasrec,0.1947600227,0.1969,-0.0021399773,PASS,ecee0ff2b6ac9b1c405a210c508b9f45982119143f584cdc8def121f92766f3a
ml20m,seqrules,0.1115251301,0.1115,+0.0000251301,PASS,eb2a203f7755a773c49fe07e843d1884731e20f79b0bb8ce6a59b0eac655ec04
ml20m,pctm,0.1431193805,0.1431,+0.0000193805,PASS,6a8959b47dc2d3ce39a5443cec494abcb66b574da76112226552c4e66329b7f7
OVERALL PASS mismatches=0
